Name,Ticker,Owner
Pop Mart,9992.HK,Elaine
New Oriental,9901.HK,Elaine
Giant Biogene,2367.HK,Elaine
Mixue,2097.HK,Eric
MGP,1318.HK,Elaine
Anta,2020.HK,Eric
Laopu,6181.HK,Elaine
Haitian,3288.HK,Eric
Botanee,300957.SZ,Elaine
CTGDF,601888.SS,Elaine
IMEiK,300896.SZ,Elaine
Proya,603605.SS,Elaine
Seres,601127.SS,Eric
Yili,600887.SS,Eric
Haidilao,6862.HK,Eric
Li Ning,2331.HK,Leslie
Shenzhou Intl,2313.HK,Leslie
Super Hi,9658.HK,Eric
Yihai,300999.SZ,Eric
YUMC,9987.HK,Eric
Moutai,600519.SS,Eric
Guming,1364.HK,Leslie
Nong Fu Spring,9633.HK,Eric
Alibaba,9988.HK,Eric
Tencent,0700.HK,Eric
JD,9618.HK,Eric
Meituan-Dianping,3690.HK,Elaine
Bilibili,9626.HK,Eric
Trip.com,9961.HK,Eric
Shunfeng,002352.SZ,Leslie
East Buy,1797.HK,Elaine
Huazhu,1179.HK,Leslie
Kuaishou,1024.HK,Leslie
New Horizon,9901.HK,Elaine
Weimob,2013.HK,Eric
Tencent Music Entertainment,1698.HK,Elaine
Meitu,1357.HK,Elaine
Newborn Town Inc.,9911.HK,Elaine
KE Holdings,2423.HK,Eric
Kanzhun Limited,2076.HK,Eric
Xiaomi,1810.HK,Elaine
BYD,1211.HK,Leslie
BYD,1211.HK,Eric
UBTech,9880.HK,Eric
Horizon Robotics,9660.HK,Elaine
Sunny Optical,2382.HK,Elaine
CATL(H),3750.HK,Eric
Accelink,002281.SZ,Eric
Anker,300866.SZ,Elaine
CATL(A),300750.SZ,Eric
China Mobile,0941.HK,Elaine
Desay SV,002920.SZ,Leslie
Envicool,002837.SZ,Eric
Etern,600105.SS,Eric
Everbright,688041.SS,Eric
Foxconn Industrial Internet,601138.SS,Elaine
Goertek,002241.SZ,Elaine
Hikvision,002415.SZ,Elaine
iFlyTek,002230.SZ,Elaine
Ingenic,603986.SS,Elaine
Innolight,300308.SZ,Eric
Inovance,300124.SZ,Leslie
Kingsoft,3888.HK,Elaine
Leader Harmonious Drive,688017.SS,Eric
Lianchuang,600363.SS,Eric
Maxscend Microelectronics,688052.SS,Elaine
MGI Tech,688114.SS,Leslie
Naura Tech,002371.SZ,Elaine
OPT,688686.SS,Eric
Oriental Semi,688261.SS,Elaine
Sangfor Technologies,300454.SZ,Elaine
SG Micro,300661.SZ,Elaine
SICC,688234.SS,Elaine
Silan Microelectronics,600460.SS,Elaine
Starpower,603290.SS,Elaine
Sunway Communication,002115.SZ,Elaine
Thunder Software,300496.SZ,Elaine
Transsion,688036.SS,Eric
Unigroup Guoxin,002049.SZ,Elaine
Venustech,002439.SZ,Elaine
Will Semi,603501.SS,Elaine
WUS Printed Circuit,002463.SZ,Elaine
Yonyou,600588.SS,Elaine
Yutong,600066.SS,Eric
ZTE(A),600498.SS,Eric
Baidu,9888.HK,Eric
BYD Electronic,0285.HK,Elaine
CRRC Times Elec,601766.SS,Elaine
Hua Hong,1347.HK,Elaine
Innovent,1801.HK,Leslie
Li Auto,2015.HK,Leslie
LK,0558.HK,Eric
SMIC,0981.HK,Elaine
Jianghuai Auto,600418.SS,Eric
Sanhua,002050.SZ,Eric
Luxshare,002475.SZ,Elaine
Xiaopeng,9868.HK,Eric
Mobvista,1860.HK,Elaine
Fourth Paradigm Technology,6682.HK,Elaine
Arashi Vision,688775.SS,Eric
Shenzhen Dobot,2432.HK,Eric
Hengrui(H),1276.HK,Leslie
Amoy,300685.SZ,Leslie
Hengrui(A),600276.SS,Leslie
Kingmed,2162.HK,Leslie
Mindray,300760.SZ,Leslie
Weining,300253.SZ,Eric
WuXi AppTec,603259.SS,Leslie
Yiling,002603.SZ,Leslie
Abbisko,2256.HK,Leslie
Akeso,9926.HK,Leslie
Ali Health,0241.HK,Elaine
AlphaMab,9966.HK,Leslie
Angelalign,6699.HK,Leslie
Ascentage,6855.HK,Leslie
BeiGene,6160.HK,Leslie
Brii,2137.HK,Leslie
CARSgen,2171.HK,Leslie
JD Health,6618.HK,Leslie
Keymed,2162.HK,Leslie
MedBot,0853.HK,Leslie
Ocumension,1477.HK,Leslie
Onewo,2602.HK,Elaine
SKB Bio,6990.HK,Leslie
WuXi Biologics,2269.HK,Leslie
WuXi XDC,2268.HK,Leslie
Yidu Tech,2158.HK,Eric
Sanhua,2050.HK,Eric
Estun Automation,002747.SZ,Eric
Ping An,601318.SS,Eric
Poly Developments,600048.SS,Eric
Vanke,000002.SZ,Eric
China Overseas,0688.HK,Eric
HKEx,0388.HK,Eric
Yuexiu Property,0123.HK,Eric
China Real Estate ETF,0832.HK,Eric
JA Solar,002459.SZ,Eric
LONGi Green Energy Tech,601012.SS,Eric
Sungrow Power,300274.SZ,Eric
Yangtze Power,600900.SS,Eric
Yuntianhua,600096.SS,Eric
CNOOC,0883.HK,Elaine
GanfengLithium,002460.SZ,Eric
Petrochina,0857.HK,Elaine
Zijin Mining(H),2899.HK,Eric
Zijin Mining(A),601899.SS,Eric
